Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Li, Zongjie; Wang, Chaozheng; Wang, Shuai; Gao, Cuiyun; ",Protecting intellectual property of large language model-based code generation apis via watermarks,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,,,2336-2350,2023,
"Yu, Zhiyuan; Wu, Yuhao; Zhang, Ning; Wang, Chenguang; Vorobeychik, Yevgeniy; Xiao, Chaowei; ",Codeipprompt: intellectual property infringement assessment of code language models,International conference on machine learning,,,40373-40389,2023,PMLR
"Ren, Jie; Xu, Han; He, Pengfei; Cui, Yingqian; Zeng, Shenglai; Zhang, Jiankun; Wen, Hongzhi; Ding, Jiayuan; Huang, Pei; Lyu, Lingjuan; ",Copyright protection in generative ai: A technical perspective,arXiv preprint arXiv:2402.02333,,,,2024,
"Parnagian, Ani; ",Should AI have Intellectual Property Rights? An Analysis of Copyright Law on Generative AI,,,,,2023,
"Cooper, A Feder; Grimmelmann, James; ","The Files are in the Computer: Copyright, Memorization, and Generative AI",arXiv preprint arXiv:2404.12590,,,,2024,
"Zhang, Dawen; Xia, Boming; Liu, Yue; Xu, Xiwei; Hoang, Thong; Xing, Zhenchang; Staples, Mark; Lu, Qinghua; Zhu, Liming; ",Tag your fish in the broken net: A responsible web framework for protecting online privacy and copyright,arXiv preprint arXiv:2310.07915,,,,2023,
"Katzy, Jonathan; Popescu, Razvan; Van Deursen, Arie; Izadi, Maliheh; ",An exploratory investigation into code license infringements in large language model training datasets,Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering,,,74-85,2024,
"Liu, Xiaoze; Sun, Ting; Xu, Tianyang; Wu, Feijie; Wang, Cunxiang; Wang, Xiaoqian; Gao, Jing; ",Shield: Evaluation and defense strategies for copyright compliance in llm text generation,arXiv preprint arXiv:2406.12975,,,,2024,
"Kretschmer, Martin; Margoni, Thomas; Oruç, Pinar; ",Copyright law and the lifecycle of machine learning models,IIC-International Review of Intellectual Property and Competition Law,55,1,110-138,2024,Springer
"Moayeri, Mazda; Basu, Samyadeep; Balasubramanian, Sriram; Kattakinda, Priyatham; Chengini, Atoosa; Brauneis, Robert; Feizi, Soheil; ",Rethinking artistic copyright infringements in the era of text-to-image generative models,arXiv preprint arXiv:2404.08030,,,,2024,
"Smits, Jan; Borghuis, Tijn; ",Generative AI and intellectual property rights,Law and artificial intelligence: Regulating AI and applying AI in legal practice,,,323-344,2022,Springer
"Liu, Zhengliang; Huang, Yue; Yu, Xiaowei; Zhang, Lu; Wu, Zihao; Cao, Chao; Dai, Haixing; Zhao, Lin; Li, Yiwei; Shu, Peng; ",Deid-gpt: Zero-shot medical text de-identification by gpt-4,arXiv preprint arXiv:2303.11032,,,,2023,
"Li, Shen; Yao, Liuyi; Gao, Jinyang; Zhang, Lan; Li, Yaliang; ",Double-i watermark: Protecting model copyright for LLM fine-tuning,arXiv preprint arXiv:2402.14883,,,,2024,
"Wang, Kun; Chang, Kaiyan; Wang, Mengdi; Zou, Xingqi; Xu, Haobo; Han, Yinhe; Wang, Ying; ",RTLMarker: Protecting LLM-Generated RTL Copyright via a Hardware Watermarking Framework,Proceedings of the 30th Asia and South Pacific Design Automation Conference,,,808-813,2025,
"Meeus, Matthieu; Shilov, Igor; Faysse, Manuel; De Montjoye, Yves-Alexandre; ",Copyright traps for large language models,arXiv preprint arXiv:2402.09363,,,,2024,
"Lee, Katherine; Cooper, A Feder; Grimmelmann, James; ",Talkin''Bout AI Generation: Copyright and the Generative-AI Supply Chain,arXiv preprint arXiv:2309.08133,,,,2023,
"Lu, Yiwei; Yang, Matthew YR; Liu, Zuoqiu; Kamath, Gautam; Yu, Yaoliang; ",Disguised copyright infringement of latent diffusion models,arXiv preprint arXiv:2404.06737,,,,2024,
"Tan, Hanzhuo; Luo, Qi; Li, Jing; Zhang, Yuqun; ",Llm4decompile: Decompiling binary code with large language models,arXiv preprint arXiv:2403.05286,,,,2024,
"Guo, Lianghong; Wang, Yanlin; Shi, Ensheng; Zhong, Wanjun; Zhang, Hongyu; Chen, Jiachi; Zhang, Ruikai; Ma, Yuchi; Zheng, Zibin; ",When to stop? towards efficient code generation in llms with excess token prevention,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,,,1073-1085,2024,
"Ungureanu, Carmen Tamara; Amironesei, Aura Elena; ",Legal issues concerning Generative AI technologies,Eastern Journal of European Studies,45,,,2023,
"Kim, Jungin; Park, Shinwoo; Han, Yo-Sub; ",Marking Code Without Breaking It: Code Watermarking for Detecting LLM-Generated Code,arXiv preprint arXiv:2502.18851,,,,2025,
"Hacohen, Uri; Haviv, Adi; Sarfaty, Shahar; Friedman, Bruria; Elkin-Koren, Niva; Livni, Roi; Bermano, Amit H; ",Not all similarities are created equal: Leveraging data-driven biases to inform genai copyright disputes,arXiv preprint arXiv:2403.17691,,,,2024,
"Sandiumenge Torres, Isaac Yael; ",Copyright implications of the use of generative AI,,,,,2023,
"Lee, Katherine; Cooper, A Feder; Grimmelmann, James; Ippolito, Daphne; ",AI and Law: The Next Generation,Available at SSRN 4580739,,,,2023,
"Bairi, Ramakrishna; Sonwane, Atharv; Kanade, Aditya; Iyer, Arun; Parthasarathy, Suresh; Rajamani, Sriram; Ashok, B; Shet, Shashank; ",Codeplan: Repository-level coding using llms and planning,Proceedings of the ACM on Software Engineering,1,FSE,675-698,2024,"ACM New York, NY, USA"
"Pan, Leyi; Liu, Aiwei; Huang, Shiyu; Lu, Yijian; Hu, Xuming; Wen, Lijie; King, Irwin; Yu, Philip S; ",Can LLM Watermarks Robustly Prevent Unauthorized Knowledge Distillation?,arXiv preprint arXiv:2502.11598,,,,2025,
"Amarikwa, Melany; ",Internet Openness at Risk: Generative AI's Impact on Data Scraping,Available at SSRN 4723713,,,,2024,
"Murray, Michael D; ",Generative ai art: Copyright infringement and fair use,SMU Sci. & Tech. L. Rev.,26,,259,2023,HeinOnline
"Zhang, Zhaoxi; Zhang, Xiaomei; Zhang, Yanjun; Zhang, Leo Yu; Chen, Chao; Hu, Shengshan; Gill, Asif; Pan, Shirui; ",Large language model watermark stealing with mixed integer programming,arXiv preprint arXiv:2405.19677,,,,2024,
"Gu, Qiuhan; ",Llm-based code generation method for golang compiler testing,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,2201-2203,2023,
"Knott, Alistair; Pedreschi, Dino; Chatila, Raja; Chakraborti, Tapabrata; Leavy, Susan; Baeza-Yates, Ricardo; Eyers, David; Trotman, Andrew; Teal, Paul D; Biecek, Przemyslaw; ",Generative AI models should include detection mechanisms as a condition for public release,Ethics and Information Technology,25,4,55,2023,Springer
"Alt, Tobias; Ibisch, Andrea; Meiser, Clemens; Wilhelm, Anna; Zimmer, Raphael; Ditz, Jonas; Dresen, Dominique; Droste, Christoph; Karschau, Jens; Laus, Friederike; ",Generative AI Models: Opportunities and Risks for Industry and Authorities,arXiv preprint arXiv:2406.04734,,,,2024,
"Panaitescu-Liess, Michael-Andrei; Pathmanathan, Pankayaraj; Kaya, Yigitcan; Che, Zora; An, Bang; Zhu, Sicheng; Agrawal, Aakriti; Huang, Furong; ",PoisonedParrot: Subtle Data Poisoning Attacks to Elicit Copyright-Infringing Content from Large Language Models,arXiv preprint arXiv:2503.07697,,,,2025,
"White, Jules; Hays, Sam; Fu, Quchen; Spencer-Smith, Jesse; Schmidt, Douglas C; ","Chatgpt prompt patterns for improving code quality, refactoring, requirements elicitation, and software design",Generative ai for effective software development,,,71-108,2024,Springer
"Miyazaki, Kunihiro; Murayama, Taichi; Uchiba, Takayuki; An, Jisun; Kwak, Haewoon; ",Public perception of generative AI on Twitter: an empirical study based on occupation and usage,EPJ Data Science,13,1,2,2024,Springer Berlin Heidelberg
"Gupta, Maanak; Akiri, CharanKumar; Aryal, Kshitiz; Parker, Eli; Praharaj, Lopamudra; ",From chatgpt to threatgpt: Impact of generative ai in cybersecurity and privacy,IEEE Access,11,,80218-80245,2023,IEEE
"Pasquini, Dario; Kornaropoulos, Evgenios M; Ateniese, Giuseppe; ",Llmmap: Fingerprinting for large language models,arXiv preprint arXiv:2407.15847,,,,2024,
"Koutcheme, Charles; Sarsa, Sami; Leinonen, Juho; Hellas, Arto; Denny, Paul; ",Automated program repair using generative models for code infilling,International Conference on Artificial Intelligence in Education,,,798-803,2023,Springer
"Maini, Pratyush; Jia, Hengrui; Papernot, Nicolas; Dziedzic, Adam; ",LLM Dataset Inference: Did you train on my dataset?,Advances in Neural Information Processing Systems,37,,124069-124092,2024,
"Huang, Dong; Zhang, Jie M; Bu, Qingwen; Xie, Xiaofei; Chen, Junjie; Cui, Heming; ",Bias testing and mitigation in llm-based code generation,ACM Transactions on Software Engineering and Methodology,,,,2024,"ACM New York, NY"
"Chen, Yan; Esmaeilzadeh, Pouyan; ",Generative AI in medical practice: in-depth exploration of privacy and security challenges,Journal of Medical Internet Research,26,,e53008,2024,"JMIR Publications Toronto, Canada"
"Lee, Katherine; Cooper, A Feder; Grimmelmann, James; ",Talkin''Bout AI generation: copyright and the generative-AI supply chain (The short version),Proceedings of the Symposium on Computer Science and Law,,,48-63,2024,
"Liffiton, Mark; Sheese, Brad E; Savelka, Jaromir; Denny, Paul; ",Codehelp: Using large language models with guardrails for scalable support in programming classes,Proceedings of the 23rd Koli Calling International Conference on Computing Education Research,,,1-11,2023,
"Rahman, Musfiqur; Khatoonabadi, SayedHassan; Abdellatif, Ahmad; Shihab, Emad; ",Automatic detection of llm-generated code: A case study of claude 3 haiku,arXiv preprint arXiv:2409.01382,,,,2024,
"Arora, Simran; Yang, Brandon; Eyuboglu, Sabri; Narayan, Avanika; Hojel, Andrew; Trummer, Immanuel; Ré, Christopher; ",Language models enable simple systems for generating structured views of heterogeneous data lakes,arXiv preprint arXiv:2304.09433,,,,2023,
"Marchal, Nahema; Xu, Rachel; Elasmar, Rasmi; Gabriel, Iason; Goldberg, Beth; Isaac, William; ",Generative AI misuse: A taxonomy of tactics and insights from real-world data,arXiv preprint arXiv:2406.13843,,,,2024,
"Xiang, Zhen; Zheng, Linzhi; Li, Yanjie; Hong, Junyuan; Li, Qinbin; Xie, Han; Zhang, Jiawei; Xiong, Zidi; Xie, Chulin; Yang, Carl; ",Guardagent: Safeguard llm agents by a guard agent via knowledge-enabled reasoning,arXiv preprint arXiv:2406.09187,,,,2024,
"Mu, Fangwen; Shi, Lin; Wang, Song; Yu, Zhuohao; Zhang, Binquan; Wang, ChenXue; Liu, Shichao; Wang, Qing; ",Clarifygpt: A framework for enhancing llm-based code generation via requirements clarification,Proceedings of the ACM on Software Engineering,1,FSE,2332-2354,2024,"ACM New York, NY, USA"
"Yao, Yifan; Duan, Jinhao; Xu, Kaidi; Cai, Yuanfang; Sun, Zhibo; Zhang, Yue; ","A survey on large language model (llm) security and privacy: The good, the bad, and the ugly",High-Confidence Computing,,,100211,2024,Elsevier
"Graham, Shawn; Yates, Donna; El-Roby, Ahmed; ",Investigating antiquities trafficking with generative pre-trained transformer (GPT)-3 enabled knowledge graphs: A case study,Open Research Europe,3,,100,2023,
"Loevenich, Johannes F; Adler, Erik; Mercier, Rémi; Velazquez, Alexander; Lopes, Roberto Rigolin F; ",Design of an autonomous cyber defence agent using hybrid ai models,2024 International Conference on Military Communication and Information Systems (ICMCIS),,,1-10,2024,IEEE
"Chen, Brian; Mustakin, Nafis; Hoang, Alvin; Fuad, Sakib; Wong, Daniel; ",VSCuda: LLM based CUDA extension for visual studio code,"Proceedings of the SC'23 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis",,,11-17,2023,
"Al-kfairy, Mousa; Mustafa, Dheya; Kshetri, Nir; Insiew, Mazen; Alfandi, Omar; ",Ethical challenges and solutions of generative AI: An interdisciplinary perspective,Informatics,11,3,58,2024,Multidisciplinary Digital Publishing Institute
"Cámara, Javier; Troya, Javier; Burgueño, Lola; Vallecillo, Antonio; ",On the assessment of generative AI in modeling tasks: an experience report with ChatGPT and UML,Software and Systems Modeling,22,3,781-793,2023,Springer
"Hellas, Arto; Leinonen, Juho; Sarsa, Sami; Koutcheme, Charles; Kujanpää, Lilja; Sorva, Juha; ",Exploring the responses of large language models to beginner programmers’ help requests,Proceedings of the 2023 ACM Conference on International Computing Education Research-Volume 1,,,93-105,2023,
"Balse, Rishabh; Kumar, Viraj; Prasad, Prajish; Warriem, Jayakrishnan Madathil; ",Evaluating the quality of llm-generated explanations for logical errors in cs1 student programs,Proceedings of the 16th Annual ACM India Compute Conference,,,49-54,2023,
"Huang, Ziheng; Li, Boheng; Cai, Yan; Wang, Run; Guo, Shangwei; Fang, Liming; Chen, Jing; Wang, Lina; ",What can discriminator do? towards box-free ownership verification of generative adversarial networks,Proceedings of the IEEE/CVF international conference on computer vision,,,5009-5019,2023,
"Fang, Zheng; Yang, Ying; Swiecki, Zachari; ",Automated code discovery via graph neural networks and generative AI,International Conference on Quantitative Ethnography,,,438-454,2023,Springer
"Kang, Sungmin; An, Gabin; Yoo, Shin; ",A quantitative and qualitative evaluation of LLM-based explainable fault localization,Proceedings of the ACM on Software Engineering,1,FSE,1424-1446,2024,"ACM New York, NY, USA"
"Zhao, Xuandong; Zhang, Kexun; Wang, Yu-Xiang; Li, Lei; ",Generative autoencoders as watermark attackers: Analyses of vulnerabilities and threats,,,,,2023,
"Manish, Sanwal; ",An autonomous multi-agent llm framework for agile software development,International Journal of Trend in Scientific Research and Development,8,5,892-898,2024,IJTSRD
"Denter, Nils M; Lai, Mei Yun; ",Measuring generative appropriability: Experiments with US semiconductor patents,World Patent Information,70,,102130,2022,Elsevier
"Huang, Siming; Cheng, Tianhao; Liu, Jason Klein; Hao, Jiaran; Song, Liuyihan; Xu, Yang; Yang, J; Liu, JH; Zhang, Chenchen; Chai, Linzheng; ",Opencoder: The open cookbook for top-tier code large language models,arXiv preprint arXiv:2411.04905,,,,2024,
"Shankar, Shreya; Zamfirescu-Pereira, JD; Hartmann, Björn; Parameswaran, Aditya; Arawjo, Ian; ",Who validates the validators? aligning llm-assisted evaluation of llm outputs with human preferences,Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology,,,1-14,2024,
"Yan, Litao; Hwang, Alyssa; Wu, Zhiyuan; Head, Andrew; ",Ivie: Lightweight anchored explanations of just-generated code,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,,1-15,2024,
"Huang, Yuxiao; Fields, Kara G; Ma, Yan; ",A tutorial on generative adversarial networks with application to classification of imbalanced data,Statistical Analysis and Data Mining: The ASA Data Science Journal,15,5,543-552,2022,Wiley Online Library
"Rathod, Vishal; Nabavirazavi, Seyedsina; Zad, Samira; Iyengar, Sundararaja Sitharama; ",Privacy and Security Challenges in Large Language Models,2025 IEEE 15th Annual Computing and Communication Workshop and Conference (CCWC),,,00746-00752,2025,IEEE
"Pereira, Ricardo; Reis, Ingrid Weingärtner; Ulbricht, Vânia; Santos, Neri dos; ",Generative artificial intelligence and academic writing: an analysis of the perceptions of researchers in training,Management Research: Journal of the Iberoamerican Academy of Management,22,4,429-450,2024,Emerald Publishing Limited
"Wu, Xuansheng; Yu, Wenhao; Zhai, Xiaoming; Liu, Ninghao; ",Self-regularization with latent space explanations for controllable llm-based classification,arXiv preprint arXiv:2502.14133,,,,2025,
