"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning","M. Joseph",NA,Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning,"","2022","","","","","Build real-world time series forecasting systems which scale to millions of time series by applying modern machine learning and deep learning conceptsKey FeaturesExplore industry-tested machine learning techniques used to forecast millions of time seriesGet started with the revolutionary paradigm of global forecasting modelsGet to grips with new concepts by applying them to real-world datasets of energy forecastingBook DescriptionWe live in a serendipitous era where the explosion in the quantum of data collected and a renewed interest in data-driven techniques such as machine learning (ML), has changed the landscape of analytics, and with it, time series forecasting. This book, filled with industry-tested tips and tricks, takes you beyond commonly used classical statistical methods such as ARIMA and introduces to you the latest techniques from the world of ML. This is a comprehensive guide to analyzing, visualizing, and creating state-of-the-art forecasting systems, complete with common topics such as ML and deep learning (DL) as well as rarely touched-upon topics such as global forecasting models, cross-validation strategies, and forecast metrics. You’ll begin by exploring the basics of data handling, data visualization, and classical statistical methods before moving on to ML and DL models for time series forecasting. This book takes you on a hands-on journey in which you’ll develop state-of-the-art ML (linear regression to gradient-boosted trees) and DL (feed-forward neural networks, LSTMs, and transformers) models on a real-world dataset along with exploring practical topics such as interpretability. By the end of this book, you’ll be able to build world-class time series forecasting systems and tackle problems in the real world.What you will learnFind out how to manipulate and visualize time series data like a proSet strong baselines with popular models such as ARIMADiscover how time series forecasting can be cast as regressionEngineer features for machine learning models for forecastingExplore the exciting world of ensembling and stacking modelsGet to grips with the global forecasting paradigmUnderstand and apply state-of-the-art DL models such as N-BEATS and AutoformerExplore multi-step forecasting and cross-validation strategiesWho this book is forThe book is for data scientists, data analysts, machine learning engineers, and Python developers who want to build industry-ready time series models. Since the book explains most concepts from the ground up, basic proficiency in Python is all you need. Prior understanding of machine learning or forecasting will help speed up your learning. For experienced machine learning and forecasting practitioners, this book has a lot to offer in terms of advanced techniques and traversing the latest research frontiers in time series forecasting.","","9781803232041","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163090.pdf&bkn=10163089&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Spectral Methods for Data Science: A Statistical Perspective","Y. Chen; Y. Chi; J. Fan; C. Ma",NA; NA; NA; NA,Spectral Methods for Data Science: A Statistical Perspective,"","2021","","","","","In contemporary science and engineering applications, the volume of available data is growing at an enormous rate. Spectral methods have emerged as a simple yet surprisingly effective approach for extracting information from massive, noisy and incomplete data. A diverse array of applications have been found in machine learning, imaging science, financial and econometric modeling, and signal processing. This monograph presents a systematic, yet accessible introduction to spectral methods from a modern statistical perspective, highlighting their algorithmic implications in diverse large-scale applications. The authors provide a unified and comprehensive treatment that establishes the theoretical underpinnings for spectral methods, particularly through a statistical lens. Building on years of research experience in the field, the authors present a powerful framework, called leave-one-out analysis, that proves effective and versatile for delivering fine-grained performance guarantees for a variety of problems. This book is essential reading for all students, researchers and practitioners working in Data Science.","","9781680838978","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9584462.pdf&bkn=9584021&pdfType=book","","","","","","","","22 Oct 2021","","","now","Now Foundations and Trends Books"
"Transforming Healthcare with DevOps: A practical DevOps4Care guide to embracing the complexity of digital transformation","J. Mulder; H. Mulder",NA; NA,Transforming Healthcare with DevOps: A practical DevOps4Care guide to embracing the complexity of digital transformation,"","2022","","","","","Leverage modern technologies and agile methodologies such as DevOps and microenterprises to deliver sustainable healthcare solutions. Purchase of the print or kindle book includes a free eBook in the PDF format. Key FeaturesBook DescriptionHealthcare today faces a multitude of challenges, which can be summed up as the barriers architects and consultants face in transforming the healthcare system into a more sustainable one. This book helps you to guide that transformation step by step. You’ll begin by understanding the need for this transformation, exploring related challenges, the possibilities of technology, and how human factors can be involved in digital transformation. The book will enable you to overcome inhibitions and plan various transformation steps using the Transformation into Sustainable Healthcare (TiSH) model and DevOps4Care. Next, you’ll use the observe, orient, decide, and act (OODA) loop as an iterative approach to address all stakeholders and adapt swiftly when situations change. Further, you’ll be able to build shared platforms that enable interaction between various stakeholders, including the technology-enabled care service teams. The final chapters will help you execute the transformation to sustainable healthcare using the knowledge you’ve gained while getting familiar with common pitfalls and learning how to avoid or mitigate them. By the end of this DevOps book, you will have an overview of the challenges, opportunities, and directions of solutions and be on your way toward starting the transformation into sustainable healthcare.What you will learnUnderstand the need for transformation of healthcareAccelerate transformation using the TiSH modelGet to grips with stepped, networked, and integrated careApply DevOps methodologies for healthcare in DevOps4CareFind out how to handle complexities through the system of systems thinkingBundle and unbundle organizations for the delivery of true patient-centric healthcareWho this book is forThis book is written specifically for enterprise architects and management consultants dealing with transformation in healthcare. Professionals dealing with digital transformation of healthcare, including C-level executives such as chief medical information officers (CMIOs), CEOs, CIOs, and CFOs will also find this book interesting. Basic knowledge of IT systems and architecture will help you grasp the concepts easily.","","9781801812467","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162684.pdf&bkn=10162683&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Endpoint Detection and Response Essentials: Explore the landscape of hacking, defense, and deployment in EDR","G. Boyraz",NA,"Endpoint Detection and Response Essentials: Explore the landscape of hacking, defense, and deployment in EDR","","2024","","","","","Elevate your expertise in endpoint detection and response by mastering advanced EDR/XDR concepts through real-life examples and fortify your organization's cyber defense strategyKey FeaturesLearn how to tackle endpoint security problems in your organizationApply practical guidance and real-world examples to harden endpoint securityImplement EDR/XDR tools for optimal protection of digital assetsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIn this data-driven age, safeguarding sensitive data and privacy has become paramount, demanding a deep understanding of the intricacies of cyberspace and its associated threats. With a focus on endpoint defense, Endpoint Detection and Response Essentials guides you in implementing EDR solutions to stay ahead of attackers and ensure the overall security posture of your IT infrastructure. Starting with an insightful introduction to EDR and its significance in the modern cyber threat landscape, this book offers a quick overview of popular EDR tools followed by their practical implementation. From real-world case studies, best practices, and deployment strategies to maximizing the effectiveness of EDR, including endpoint hardening techniques and advanced DNS visibility methods, this comprehensive resource equips you with the knowledge and hands-on skills to strengthen your organization’s defense against cyber attacks. Recognizing the role of the DNS protocol, you’ll fortify your organization's endpoint defense proactively. By the end of this book, you'll have honed the skills needed to construct a resilient cybersecurity defense for yourself and your organization.What you will learnGain insight into current cybersecurity threats targeting endpointsUnderstand why antivirus solutions are no longer sufficient for robust securityExplore popular EDR/XDR tools and their implementationMaster the integration of EDR tools into your security operationsUncover evasion techniques employed by hackers in the EDR/XDR contextGet hands-on experience utilizing DNS logs for endpoint defenseApply effective endpoint hardening techniques within your organizationWho this book is forIf you're an IT professional seeking to safeguard yourself and your company's digital assets, this book is for you. To make the most of its content, a foundational understanding of GNU/Linux, operating systems, networks, and programming concepts is recommended. Additionally, security professionals eager to delve into advanced endpoint defense techniques will find this book invaluable.","","9781835465769","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10540167.pdf&bkn=10540166&pdfType=book","","","","","","","","28 May 2024","","","Packt Publishing","Packt Publishing eBooks"
"Hands-On Simulation Modeling with Python: Develop simulation models for improved efficiency and precision in the decision-making process","G. Ciaburro",NA,Hands-On Simulation Modeling with Python: Develop simulation models for improved efficiency and precision in the decision-making process,"","2022","","","","","Learn to construct state-of-the-art simulation models with Python and enhance your simulation modelling skills, as well as create and analyze digital prototypes of physical models with easeKey FeaturesUnderstand various statistical and physical simulations to improve systems using PythonLearn to create the numerical prototype of a real model using hands-on examplesEvaluate performance and output results based on how the prototype would work in the real worldBook DescriptionSimulation modelling is an exploration method that aims to imitate physical systems in a virtual environment and retrieve useful statistical inferences from it. The ability to analyze the model as it runs sets simulation modelling apart from other methods used in conventional analyses. This book is your comprehensive and hands-on guide to understanding various computational statistical simulations using Python. The book begins by helping you get familiarized with the fundamental concepts of simulation modelling, that’ll enable you to understand the various methods and techniques needed to explore complex topics. Data scientists working with simulation models will be able to put their knowledge to work with this practical guide. As you advance, you’ll dive deep into numerical simulation algorithms, including an overview of relevant applications, with the help of real-world use cases and practical examples. You'll also find out how to use Python to develop simulation models and how to use several Python packages. Finally, you’ll get to grips with various numerical simulation algorithms and concepts, such as Markov Decision Processes, Monte Carlo methods, and bootstrapping techniques. By the end of this book, you'll have learned how to construct and deploy simulation models of your own to overcome real-world challenges.What you will learnGet to grips with the concept of randomness and the data generation processDelve into resampling methodsDiscover how to work with Monte Carlo simulationsUtilize simulations to improve or optimize systemsFind out how to run efficient simulations to analyze real-world systemsUnderstand how to simulate random walks using Markov chainsWho this book is forThis book is for data scientists, simulation engineers, and anyone who is already familiar with the basic computational methods and wants to implement various simulation techniques such as Monte-Carlo methods and statistical simulation using Python.","","9781804614464","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162612.pdf&bkn=10162611&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Active Machine Learning with Python: Refine and elevate data quality over quantity with active learning","M. Masson-Forsythe",NA,Active Machine Learning with Python: Refine and elevate data quality over quantity with active learning,"","2024","","","","","Use active machine learning with Python to improve the accuracy of predictive models, streamline the data analysis process, and adapt to evolving data trends, fostering innovation and progress across diverse fieldsKey FeaturesLearn how to implement a pipeline for optimal model creation from large datasets and at lower costsGain profound insights within your data while achieving greater efficiency and speedApply your knowledge to real-world use cases and solve complex ML problemsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionBuilding accurate machine learning models requires quality data—lots of it. However, for most teams, assembling massive datasets is time-consuming, expensive, or downright impossible. Led by Margaux Masson-Forsythe, a seasoned ML engineer and advocate for surgical data science and climate AI advancements, this hands-on guide to active machine learning demonstrates how to train robust models with just a fraction of the data using Python's powerful active learning tools. You’ll master the fundamental techniques of active learning, such as membership query synthesis, stream-based sampling, and pool-based sampling and gain insights for designing and implementing active learning algorithms with query strategy and Human-in-the-Loop frameworks. Exploring various active machine learning techniques, you’ll learn how to enhance the performance of computer vision models like image classification, object detection, and semantic segmentation and delve into a machine AL method for selecting the most informative frames for labeling large videos, addressing duplicated data. You’ll also assess the effectiveness and efficiency of active machine learning systems through performance evaluation. By the end of the book, you’ll be able to enhance your active learning projects by leveraging Python libraries, frameworks, and commonly used tools.What you will learnMaster the fundamentals of active machine learningUnderstand query strategies for optimal model training with minimal dataTackle class imbalance, concept drift, and other data challengesEvaluate and analyze active learning model performanceIntegrate active learning libraries into workflows effectivelyOptimize workflows for human labelersExplore the finest active learning tools available todayWho this book is forIdeal for data scientists and ML engineers aiming to maximize model performance while minimizing costly data labeling, this book is your guide to optimizing ML workflows and prioritizing quality over quantity. Whether you’re a technical practitioner or team lead, you’ll benefit from the proven methods presented in this book to slash data requirements and iterate faster. Basic Python proficiency and familiarity with machine learning concepts such as datasets and convolutional neural networks is all you need to get started. ","","9781835462683","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10522555.pdf&bkn=10522554&pdfType=book","","","","","","","","8 May 2024","","","Packt Publishing","Packt Publishing eBooks"
"Color Decoupling for Multi-Illumination Color Constancy","W. Zhang; Z. Tan; L. Zhang; Z. Li","School of Information Management and the Research Center of Graphic Communication, Printing and Packaging, Wuhan University, Wuhan, China; School of Computer Science, Nanjing University of Information Science and Technology, Nanjing, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; School of Information Management, Wuhan University, Wuhan, China",IEEE Transactions on Circuits and Systems for Video Technology,"","2024","PP","99","1","1","Current multi-illumination color constancy methods typically estimate illumination for each pixel directly. However, according to the multi-illumination imaging equation, the color of each pixel is determined by various components, including the innate color of the scene content, the colors of multiple illuminations, and the weightings of these illuminations. Failing to distinguish between these components results in color coupling. On the one hand, there is color coupling between illumination and scene content, where estimations are easily misled by the colors of the content, and the distribution of the estimated illuminations is relatively scattered. On the other hand, there is color coupling between illuminations, where estimations are susceptible to interference from high-frequency and heterogeneous illumination colors, and the local contrast is low. To address color coupling, we propose a Color Decoupling Network (CDNet) that includes a Content Color Awareness Module (CCAM) and a Contrast HArmonization Module (CHAM). CCAM learns scene content color priors, decoupling the colors of content and illuminations by providing the model with the color features of the content, thereby reducing out-of-gamut estimations and enhancing consistency. CHAM constrains feature representation, decoupling illuminants by mutual calibration between adjacent features. CHAM utilizes spatial correlation to make the model more sensitive to the relationships between neighboring features and utilizes illumination disparity degree to guide feature classification. By enhancing the uniqueness of homogeneous illumination features and the distinctiveness of heterogeneous illumination features, CHAM improves local edge contrast. Additionally, by allocating fine-grained margin coefficients to emphasize the soft distinctiveness of similar illumination features, further enhancing local contrast. Extensive experiments on single- and multi-illumination benchmark datasets demonstrate that the proposed method achieves superior performance.","1558-2205","","10.1109/TCSVT.2024.3523019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10816431","Multi-illumination color constancy;illumination map estimation;color decoupling;feature calibration;semantic","Lighting;Image color analysis;Estimation;Couplings;Feature extraction;Histograms;Hands;Calibration;Visualization;Semantics","","","","","IEEE","26 Dec 2024","","","IEEE","IEEE Early Access Articles"
"Mastering Adobe Photoshop 2024: Discover the smart way to polish your digital imagery skills by editing professional looking photos","G. Bradley",NA,Mastering Adobe Photoshop 2024: Discover the smart way to polish your digital imagery skills by editing professional looking photos,"","2024","","","","","Unleash your digital creativity by mastering complex editing tools and features to work smarter and faster for high-end resultsKey FeaturesCreate, manage, and deliver captivating visuals for print, screen, and the web using proven industry techniquesManage your digital projects with granular control and confidenceBecome an expert and eliminate last-minute Google searches to overcome challengesPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionUnlock the full potential of Photoshop, the go-to app for content creators by mastering its complex tools and features. This book quickly builds on your existing Photoshop knowledge with proven industry techniques, serving as a launchpad to develop professional skills and transformative personal growth. You’ll start by fine-tuning color and tone in your images with non-destructive adjustment layers and conceal content like backdrops with precise masking techniques for fine details like hair. Working through a series of real-world editing projects, crafting realistic brand mockups and traditional marketing collateral, you’ll learn robust methods for building social media assets in Photoshop, from images to animated GIFs and videos. You’ll also be able to bring your typography to life with styles and effects that are simple to edit and store as preset effects. The final section of the book encapsulates all of your learning to create complex montages using advanced masking and compositing techniques. You’ll have fun elevating your designs with surreal art styles and conceptual imagery using retouching, blending, and liquify filters. By the end of this Adobe Photoshop book, you’ll soar to new heights with your designs, creating captivating visuals that leave a lasting impression on your audience.What you will learnDiscover new ways of working with familiar tools, enhancing your existing knowledge of PhotoshopMaster time-saving retouching techniques, ensuring flexibility for repeated edits without compromising on qualityCreate precise image cut-outs and seamless montages with advanced masking toolsMake Photoshop your go-to application for social media contentAutomate repetitive tasks with actions and scripts that batch-process hundreds of images in secondsIntegrate vector assets, type styles, and brand colors from other CC applicationsWho this book is forThis book is for designers, marketers, and online content creators who work with digital imagery regularly. If you use Photoshop to create projects for print, screen, or social, this book will help you take your skills to the next level.","","9781838821456","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10460763.pdf&bkn=10460762&pdfType=book","","","","","","","","6 Mar 2024","","","Packt Publishing","Packt Publishing eBooks"
"Recent Advances in Testing Techniques for AI Hardware Accelerators","A. Chaudhuri; C. -Y. Chen; K. Chakrabarty",NA; NA; NA,Recent Advances in Testing Techniques for AI Hardware Accelerators,"","2023","","","","","The rapid growth in big data from mobile, Internet of things (IoT), and edge devices, and the continued demand for higher computing power, have established deep learning as the cornerstone of most artificial intelligence (AI) applications today. Recent years have seen a push towards deep learning implemented on domain-specific AI accelerators that support custom memory hierarchies, variable precision, and optimized matrix multiplication. Commercial AI accelerators have shown superior energy and footprint efficiency compared to GPUs for a variety of inference tasks. In this monograph, roadblocks that need to be understood and analyzed to ensure functional robustness in emerging AI accelerators are discussed. State-of-the-art practices adopted for structural and functional testing of the accelerators are presented, as well as methodologies for assessing the functional criticality of hardware faults in AI accelerators for reducing the test time by targeting the functionally critical faults. This monograph highlights recent research on efforts to improve test and reliability of neuromorphic computing systems built using non-volatile memory (NVM) devices like spin-transfer-torque (STT-MRAM) and resistive RAM (ReRAM) devices. Also are the robustness of silicon-photonic neural networks and the reliability concerns with manufacturing defects and process variations in monolithic 3D (M3D) based near-memory computing systems.","","9781638282419","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10159559.pdf&bkn=10159558&pdfType=book","","","","","","","","23 Jun 2023","","","now","Now Foundations and Trends Books"
"Python Machine Learning By Example: Unlock machine learning best practices with real-world use cases","Y. (. Liu",NA,Python Machine Learning By Example: Unlock machine learning best practices with real-world use cases,"","2024","","","","","Author Yuxi (Hayden) Liu teaches machine learning from the fundamentals to building NLP transformers and multimodal models with best practice tips and real-world examples using PyTorch, TensorFlow, scikit-learn, and pandasKey FeaturesDiscover new and updated content on NLP transformers, PyTorch, and computer vision modelingIncludes a dedicated chapter on best practices and additional best practice tips throughout the book to improve your ML solutionsImplement ML models, such as neural networks and linear and logistic regression, from scratchPurchase of the print or Kindle book includes a free PDF copyBook DescriptionThe fourth edition of Python Machine Learning By Example is a comprehensive guide for beginners and experienced machine learning practitioners who want to learn more advanced techniques, such as multimodal modeling. Written by experienced machine learning author and ex-Google machine learning engineer Yuxi (Hayden) Liu, this edition emphasizes best practices, providing invaluable insights for machine learning engineers, data scientists, and analysts. Explore advanced techniques, including two new chapters on natural language processing transformers with BERT and GPT, and multimodal computer vision models with PyTorch and Hugging Face. You’ll learn key modeling techniques using practical examples, such as predicting stock prices and creating an image search engine. This hands-on machine learning book navigates through complex challenges, bridging the gap between theoretical understanding and practical application. Elevate your machine learning and deep learning expertise, tackle intricate problems, and unlock the potential of advanced techniques in machine learning with this authoritative guide.What you will learnFollow machine learning best practices throughout data preparation and model developmentBuild and improve image classifiers using convolutional neural networks (CNNs) and transfer learningDevelop and fine-tune neural networks using TensorFlow and PyTorchAnalyze sequence data and make predictions using recurrent neural networks (RNNs), transformers, and CLIPBuild classifiers using support vector machines (SVMs) and boost performance with PCAAvoid overfitting using regularization, feature selection, and moreWho this book is forThis expanded fourth edition is ideal for data scientists, ML engineers, analysts, and students with Python programming knowledge. The real-world examples, best practices, and code prepare anyone undertaking their first serious ML project.","","9781835082225","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769290.pdf&bkn=10769289&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
