"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tang Z.-Y.; Tian C.-X.; Ye G.-X.; Li J.; Wang W.; Gong X.-Q.; Chen X.-J.; Fand D.-Y.","Tang, Zhan-Yong (15822992800); Tian, Chao-Xiong (57219352012); Ye, Gui-Xin (57193613039); Li, Jing (57225124163); Wang, Wei (56948520300); Gong, Xiao-Qing (25652823800); Chen, Xiao-Jiang (8317069000); Fand, Ding-Yi (57219357947)","15822992800; 57219352012; 57193613039; 57225124163; 56948520300; 25652823800; 8317069000; 57219357947","A Recognition Method for Text-Based Captcha Based on CGAN; [一种基于条件生成式对抗网络的文本类验证码识别方法]","2020","Jisuanji Xuebao/Chinese Journal of Computers","43","8","","1572","1588","16","2","10.11897/SP.J.1016.2020.01572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092413283&doi=10.11897%2fSP.J.1016.2020.01572&partnerID=40&md5=2b3e01596d6884f052ac34e7fff16165","Article","Final","","Scopus","2-s2.0-85092413283"
"Makse H.A.; Zava M.","Makse, Hernán A. (7003916720); Zava, Marta (59679897200)","7003916720; 59679897200","The Science of Influencers and Superspreaders: Using Networks and Artificial Intelligence to Understand Fake News, Pandemics, Markets, and the Brain","2024","Understanding Complex Systems","Part F4274","","","1","447","446","0","10.1007/978-3-031-78058-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000632337&doi=10.1007%2f978-3-031-78058-5&partnerID=40&md5=a6f7cd7c59271a8e7b8376ab5298212b","Book chapter","Final","","Scopus","2-s2.0-86000632337"
"Ungless E.L.; Vitsakis N.; Talat Z.; Garforth J.; Ross B.; Onken A.; Kasirzadeh A.; Birch A.","Ungless, Eddie L. (57222237616); Vitsakis, Nikolas (57472596800); Talat, Zeerak (57343018000); Garforth, James (57210802649); Ross, Björn (57195061365); Onken, Arno (35273049200); Kasirzadeh, Atoosa (57208268996); Birch, Alexandra (35263632000)","57222237616; 57472596800; 57343018000; 57210802649; 57195061365; 35273049200; 57208268996; 35263632000","The Only Way is Ethics: A Guide to Ethical Research with Large Language Models","2025","Proceedings - International Conference on Computational Linguistics, COLING","Part F206484-1","","","8992","9005","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218492393&partnerID=40&md5=5980ee4246e1cfcf460595d0964dcd2a","Conference paper","Final","","Scopus","2-s2.0-85218492393"
"Gorwa R.; Veale M.","Gorwa, Robert (57203651357); Veale, Michael (57073209400)","57203651357; 57073209400","Moderating model marketplaces: platform governance puzzles for AI intermediaries","2024","Law, Innovation and Technology","","","","","","","4","10.1080/17579961.2024.2388914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208017860&doi=10.1080%2f17579961.2024.2388914&partnerID=40&md5=657c8dca7af75cc08aba7bde7d06928c","Article","Article in press","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85208017860"
"Thomas A.W.; Ré C.; Poldrack R.A.","Thomas, Armin W. (57208344290); Ré, Christopher (10739281400); Poldrack, Russell A. (7004739390)","57208344290; 10739281400; 7004739390","Interpreting mental state decoding with deep learning models","2022","Trends in Cognitive Sciences","26","11","","972","986","14","13","10.1016/j.tics.2022.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139590885&doi=10.1016%2fj.tics.2022.07.003&partnerID=40&md5=0de6c87cf5d2e6660e515837643acd69","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85139590885"
"Makhortykh M.; Zucker E.M.; Simon D.J.; Bultmann D.; Ulloa R.","Makhortykh, Mykola (56951186100); Zucker, Eve M. (14421970500); Simon, David J. (56468695100); Bultmann, Daniel (57189560185); Ulloa, Roberto (57223296042)","56951186100; 14421970500; 56468695100; 57189560185; 57223296042","Shall androids dream of genocides? How generative AI can change the future of memorialization of mass atrocities","2023","Discover Artificial Intelligence","3","1","28","","","","12","10.1007/s44163-023-00072-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174380272&doi=10.1007%2fs44163-023-00072-6&partnerID=40&md5=9dfce90068a3188dd025dd7beeecc431","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174380272"
"Zhu H.; Chen Z.; Liu S.","Zhu, Han (57221180146); Chen, Zhenzhong (55737671700); Liu, Shan (55600731300)","57221180146; 55737671700; 55600731300","Information Bottleneck based Self-distillation: Boosting Lightweight Network for Real-world Super-Resolution","2024","IEEE Transactions on Circuits and Systems for Video Technology","","","","","","","0","10.1109/TCSVT.2024.3519136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212757263&doi=10.1109%2fTCSVT.2024.3519136&partnerID=40&md5=9c922f4baf92ea789a0d015785cc1c4d","Article","Article in press","","Scopus","2-s2.0-85212757263"
"Bui A.; Vuong L.; Doan K.; Le T.; Montague P.; Abraham T.; Phung D.","Bui, Anh (57219791994); Vuong, Long (59406249700); Doan, Khanh (58775373200); Le, Trung (57202557822); Montague, Paul (7004572755); Abraham, Tamas (8750008900); Phung, Dinh (59538755900)","57219791994; 59406249700; 58775373200; 57202557822; 7004572755; 8750008900; 59538755900","Erasing Undesirable Concepts in Diffusion Models with Adversarial Preservation","2024","Advances in Neural Information Processing Systems","37","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000544285&partnerID=40&md5=3c5e00553067225d4c73052bdbdc7852","Conference paper","Final","","Scopus","2-s2.0-105000544285"
"Lee B.D.; Gitter A.; Greene C.S.; Raschka S.; Maguire F.; Titus A.J.; Kessler M.D.; Lee A.J.; Chevrette M.G.; Stewart P.A.; Britto-Borges T.; Cofer E.M.; Yu K.-H.; Carmona J.J.; Fertig E.J.; Kalinin A.A.; Signal B.; Lengerich B.J.; Triche T.J., Jr.; Boca S.M.","Lee, Benjamin D. (57205181012); Gitter, Anthony (27867713200); Greene, Casey S. (12141512300); Raschka, Sebastian (57191574183); Maguire, Finlay (56118405300); Titus, Alexander J. (57190819141); Kessler, Michael D. (57191526767); Lee, Alexandra J. (56606530000); Chevrette, Marc G. (57191092412); Stewart, Paul Allen (7403039434); Britto-Borges, Thiago (36647233200); Cofer, Evan M. (57201519518); Yu, Kun-Hsing (46961582400); Carmona, Juan Jose (58370363400); Fertig, Elana J. (15768654400); Kalinin, Alexandr A. (56701977200); Signal, Brandon (56922158500); Lengerich, Benjamin J. (56132063200); Triche, Timothy J. (7004983032); Boca, Simina M. (21740680900)","57205181012; 27867713200; 12141512300; 57191574183; 56118405300; 57190819141; 57191526767; 56606530000; 57191092412; 7403039434; 36647233200; 57201519518; 46961582400; 58370363400; 15768654400; 56701977200; 56922158500; 56132063200; 7004983032; 21740680900","Ten quick tips for deep learning in biology","2022","PLoS Computational Biology","18","3","e1009803","","","","24","10.1371/journal.pcbi.1009803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127019209&doi=10.1371%2fjournal.pcbi.1009803&partnerID=40&md5=b9855b65ebedcbf0098699571b294c5d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127019209"
"Fitch K.; Motion J.","Fitch, Kate (55117909600); Motion, Judy (6507485840)","55117909600; 6507485840","Popular culture and social change: The hidden work of public relations","2020","Popular Culture and Social Change: The Hidden Work of Public Relations","","","","1","158","157","1","10.4324/9781315203515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096253508&doi=10.4324%2f9781315203515&partnerID=40&md5=3352e203bd3bbc6a7d6e0245d553c52a","Book","Final","","Scopus","2-s2.0-85096253508"
